TestNo,BLOCK_X,BLOCK_Y,Score_1,Score_2,Score_3,Score_Overall
1,1,1,0.92259812355,0.932293176651,0.999125957489,0.932293176651
2,2,1,0.534657001495,0.535567045212,0.560370922089,0.535567045212
3,4,1,0.338469028473,0.343024969101,0.422365903854,0.343024969101
4,8,1,0.242098093033,0.244523048401,0.267137050629,0.244523048401
5,16,1,0.201776027679,0.207111120224,0.22101688385,0.207111120224
6,32,1,0.181672096252,0.18580698967,0.202383995056,0.18580698967
7,64,1,0.162546157837,0.162688016891,0.188530921936,0.162688016891
8,128,1,0.163423061371,0.168725013733,0.183723211288,0.168725013733
9,256,1,0.165323972702,0.174787998199,0.194538831711,0.174787998199
10,512,1,0.173707962036,0.184329986572,0.210587978363,0.184329986572
11,1024,1,0.195390939713,0.198772192001,0.22313284874,0.198772192001
12,1,2,0.5404047966,0.541220903397,0.636924982071,0.541220903397
13,2,2,0.339509010315,0.340710163116,0.406350135803,0.340710163116
14,4,2,0.24550318718,0.252373933792,0.278702974319,0.252373933792
15,8,2,0.207000017166,0.216706037521,0.220999956131,0.216706037521
16,16,2,0.180680036545,0.189263820648,0.20694899559,0.189263820648
17,32,2,0.161498069763,0.162309169769,0.182408094406,0.162309169769
18,64,2,0.162324905396,0.163918018341,0.183107852936,0.163918018341
19,128,2,0.16960310936,0.174515008926,0.201867103577,0.174515008926
20,256,2,0.161535024643,0.163931846619,0.203990936279,0.163931846619
21,512,2,0.172156095505,0.173625946045,0.208559036255,0.173625946045
22,1024,2,,,,
23,1,4,0.341356992722,0.343630075455,0.426895856857,0.343630075455
24,2,4,0.234964132309,0.241568088531,0.262876987457,0.241568088531
25,4,4,0.196184873581,0.197918891907,0.20792889595,0.197918891907
26,8,4,0.176689147949,0.177708864212,0.215622901917,0.177708864212
27,16,4,0.165885925293,0.170855045319,0.206310987473,0.170855045319
28,32,4,0.15761089325,0.158236026764,0.191226005554,0.158236026764
29,64,4,0.159398078918,0.159993886948,0.207376003265,0.159993886948
30,128,4,0.15998005867,0.16159081459,0.197798967361,0.16159081459
31,256,4,0.163940906525,0.168507099152,0.194329023361,0.168507099152
32,512,4,,,,
33,1024,4,,,,
34,1,8,0.279363870621,0.288708925247,0.347703933716,0.288708925247
35,2,8,0.211022853851,0.212155103683,0.240733861923,0.212155103683
36,4,8,0.187107801437,0.195958137512,0.228401184082,0.195958137512
37,8,8,0.178531885147,0.180465221405,0.21294093132,0.180465221405
38,16,8,0.16049695015,0.163421869278,0.2025411129,0.163421869278
39,32,8,0.159650087357,0.159853219986,0.184954881668,0.159853219986
40,64,8,0.162361860275,0.175760984421,0.198450088501,0.175760984421
41,128,8,0.167708873749,0.169027805328,0.191804885864,0.169027805328
42,256,8,,,,
43,512,8,,,,
44,1024,8,,,,
45,1,16,0.266868829727,0.27529001236,0.326654911041,0.27529001236
46,2,16,0.211951971054,0.213822841644,0.240375995636,0.213822841644
47,4,16,0.19206905365,0.195218086243,0.229889154434,0.195218086243
48,8,16,0.174027204514,0.178107976913,0.196070194244,0.178107976913
49,16,16,0.161858081818,0.167397975922,0.195874929428,0.167397975922
50,32,16,0.164572954178,0.165250062943,0.189075946808,0.165250062943
51,64,16,0.164267063141,0.166047096252,0.199059963226,0.166047096252
52,128,16,,,,
53,256,16,,,,
54,512,16,,,,
55,1024,16,,,,
56,1,32,0.26867890358,0.26954293251,0.341277837753,0.26954293251
57,2,32,0.242456912994,0.24252986908,0.245587110519,0.24252986908
58,4,32,0.183406829834,0.190482139587,0.206341028214,0.190482139587
59,8,32,0.178008079529,0.178511142731,0.19651389122,0.178511142731
60,16,32,0.162842988968,0.172473907471,0.198802947998,0.172473907471
61,32,32,0.167435884476,0.17088508606,0.188879013062,0.17088508606
62,64,32,,,,
63,128,32,,,,
64,256,32,,,,
65,512,32,,,,
66,1024,32,,,,
67,1,64,0.268918991089,0.278101921082,0.346800088882,0.278101921082
68,2,64,0.217620849609,0.219730138779,0.245867013931,0.219730138779
69,4,64,0.197951793671,0.209433078766,0.211122989655,0.209433078766
70,8,64,0.174282073975,0.184503078461,0.201256036758,0.184503078461
71,16,64,0.173658847809,0.177443981171,0.190979957581,0.177443981171
72,32,64,,,,
73,64,64,,,,
74,128,64,,,,
75,256,64,,,,
76,512,64,,,,
77,1024,64,,,,
78,1,128,0.27462220192,0.313133001328,0.329292058945,0.313133001328
79,2,128,0.210202932358,0.21431684494,0.24765086174,0.21431684494
80,4,128,0.202888011932,0.204978942871,0.2340259552,0.204978942871
81,8,128,0.183880090714,0.189382791519,0.205257892609,0.189382791519
82,16,128,,,,
83,32,128,,,,
84,64,128,,,,
85,128,128,,,,
86,256,128,,,,
87,512,128,,,,
88,1024,128,,,,
89,1,256,0.276018857956,0.28110909462,0.33377289772,0.28110909462
90,2,256,0.231380939484,0.248663187027,0.253398895264,0.248663187027
91,4,256,0.199769973755,0.208467006683,0.216716051102,0.208467006683
92,8,256,,,,
93,16,256,,,,
94,32,256,,,,
95,64,256,,,,
96,128,256,,,,
97,256,256,,,,
98,512,256,,,,
99,1024,256,,,,
100,1,512,0.281622171402,0.283846855164,0.360867977142,0.283846855164
101,2,512,0.227037906647,0.23050403595,0.252589941025,0.23050403595
102,4,512,,,,
103,8,512,,,,
104,16,512,,,,
105,32,512,,,,
106,64,512,,,,
107,128,512,,,,
108,256,512,,,,
109,512,512,,,,
110,1024,512,,,,
111,1,1024,0.283359050751,0.289713144302,0.367159843445,0.289713144302
112,2,1024,,,,
113,4,1024,,,,
114,8,1024,,,,
115,16,1024,,,,
116,32,1024,,,,
117,64,1024,,,,
